threshold,fpr,tpr
0.362,0.08202880400751408,0.04971098265895954
0.363,0.08140262993112085,0.04971098265895954
0.364,0.07701941139636818,0.049132947976878616
0.365,0.07514088916718847,0.049132947976878616
0.366,0.07514088916718847,0.049132947976878616
0.367,0.07326236693800876,0.049132947976878616
0.368,0.07201001878522229,0.048554913294797684
0.369,0.07138384470882905,0.048554913294797684
0.37,0.06950532247964934,0.048554913294797684
0.371,0.06762680025046963,0.048554913294797684
0.372,0.0670006261740764,0.048554913294797684
0.373,0.06449592986850344,0.048554913294797684
0.374,0.06449592986850344,0.048554913294797684
0.375,0.06261740763932373,0.048554913294797684
0.376,0.06073888541014402,0.04797687861271676
0.377,0.058860363180964305,0.04797687861271676
0.378,0.056981840951784594,0.04797687861271676
0.379,0.056355666875391355,0.04797687861271676
0.38,0.054477144646211645,0.04797687861271676
0.381,0.052598622417031934,0.04797687861271676
0.382,0.051972448340638695,0.047398843930635835
0.383,0.050093926111458985,0.04682080924855491
0.384,0.048215403882279274,0.04682080924855491
0.385,0.047589229805886035,0.04682080924855491
0.386,0.045084533500313086,0.04682080924855491
0.387,0.044458359423919847,0.04566473988439306
0.388,0.044458359423919847,0.04508670520231214
0.389,0.042579837194740136,0.04508670520231214
0.39,0.042579837194740136,0.04450867052023121
0.391,0.041327489041953665,0.04393063583815029
0.392,0.040701314965560426,0.04393063583815029
0.393,0.040075140889167186,0.04393063583815029
0.394,0.039448966812773954,0.04335260115606936
0.395,0.038196618659987476,0.04335260115606936
0.396,0.038196618659987476,0.04335260115606936
0.397,0.036318096430807766,0.04161849710982659
0.398,0.036318096430807766,0.041040462427745665
0.399,0.036318096430807766,0.03930635838150289
0.4,0.036318096430807766,0.03930635838150289
0.401,0.035691922354414526,0.03872832369942197
0.402,0.035691922354414526,0.03872832369942197
0.403,0.03506574827802129,0.03815028901734104
0.404,0.034439574201628055,0.03815028901734104
0.405,0.03318722604884158,0.03815028901734104
0.406,0.03256105197244834,0.03815028901734104
0.40700000000000003,0.031934877896055106,0.03815028901734104
0.40800000000000003,0.031934877896055106,0.03815028901734104
0.40900000000000003,0.03005635566687539,0.03815028901734104
0.41000000000000003,0.029430181590482152,0.03815028901734104
0.41100000000000003,0.028177833437695678,0.03815028901734104
0.41200000000000003,0.027551659361302442,0.03757225433526012
0.41300000000000003,0.026925485284909206,0.03757225433526012
0.41400000000000003,0.026299311208515967,0.03757225433526012
0.41500000000000004,0.025046963055729492,0.03757225433526012
0.41600000000000004,0.023794614902943018,0.03757225433526012
0.417,0.023168440826549782,0.03410404624277456
0.418,0.023168440826549782,0.03410404624277456
0.419,0.021289918597370068,0.03410404624277456
0.42,0.020663744520976832,0.03410404624277456
0.421,0.020663744520976832,0.03352601156069364
0.422,0.019411396368190358,0.03352601156069364
0.423,0.019411396368190358,0.03352601156069364
0.424,0.01878522229179712,0.03352601156069364
0.425,0.017532874139010644,0.03352601156069364
0.426,0.016906700062617408,0.03352601156069364
0.427,0.01628052598622417,0.03352601156069364
0.428,0.015654351909830933,0.03352601156069364
0.429,0.015654351909830933,0.03352601156069364
0.43,0.015028177833437696,0.03352601156069364
0.431,0.015028177833437696,0.03352601156069364
0.432,0.015028177833437696,0.032947976878612714
0.433,0.013775829680651221,0.032947976878612714
0.434,0.013775829680651221,0.032947976878612714
0.435,0.013775829680651221,0.03236994219653179
0.436,0.013775829680651221,0.03236994219653179
0.437,0.013149655604257984,0.03236994219653179
0.438,0.012523481527864746,0.03236994219653179
0.439,0.012523481527864746,0.03236994219653179
0.44,0.011271133375078271,0.03236994219653179
0.441,0.011271133375078271,0.03236994219653179
0.442,0.011271133375078271,0.031791907514450865
0.443,0.010644959298685034,0.031791907514450865
0.444,0.010644959298685034,0.031791907514450865
0.445,0.010644959298685034,0.031791907514450865
0.446,0.010644959298685034,0.03121387283236994
0.447,0.00939261114589856,0.03121387283236994
0.448,0.00939261114589856,0.03121387283236994
0.449,0.008766437069505322,0.030635838150289016
0.45,0.008140262993112084,0.028901734104046242
0.451,0.008140262993112084,0.028323699421965318
0.452,0.008140262993112084,0.028323699421965318
0.453,0.008140262993112084,0.027745664739884393
0.454,0.008140262993112084,0.027745664739884393
0.455,0.007514088916718848,0.027745664739884393
0.456,0.0068879148403256105,0.02716763005780347
0.457,0.0068879148403256105,0.02716763005780347
0.458,0.0068879148403256105,0.02716763005780347
0.459,0.006261740763932373,0.026589595375722544
0.46,0.006261740763932373,0.026589595375722544
0.461,0.006261740763932373,0.026589595375722544
0.462,0.006261740763932373,0.026589595375722544
0.463,0.005635566687539136,0.026589595375722544
0.464,0.005009392611145898,0.026589595375722544
0.465,0.005009392611145898,0.02601156069364162
0.466,0.005009392611145898,0.02601156069364162
0.467,0.005009392611145898,0.025433526011560695
0.468,0.005009392611145898,0.025433526011560695
0.46900000000000003,0.005009392611145898,0.025433526011560695
0.47000000000000003,0.005009392611145898,0.025433526011560695
0.47100000000000003,0.005009392611145898,0.025433526011560695
0.47200000000000003,0.005009392611145898,0.025433526011560695
0.47300000000000003,0.005009392611145898,0.025433526011560695
0.47400000000000003,0.005009392611145898,0.025433526011560695
0.47500000000000003,0.005009392611145898,0.025433526011560695
0.47600000000000003,0.005009392611145898,0.025433526011560695
0.47700000000000004,0.005009392611145898,0.025433526011560695
0.47800000000000004,0.005009392611145898,0.025433526011560695
0.47900000000000004,0.005009392611145898,0.02485549132947977
0.48,0.004383218534752661,0.02485549132947977
0.481,0.004383218534752661,0.02485549132947977
0.482,0.004383218534752661,0.02485549132947977
0.483,0.003757044458359424,0.02485549132947977
0.484,0.003757044458359424,0.02485549132947977
0.485,0.003757044458359424,0.02485549132947977
0.486,0.003757044458359424,0.02485549132947977
0.487,0.003757044458359424,0.02485549132947977
0.488,0.003757044458359424,0.02485549132947977
0.489,0.003757044458359424,0.02485549132947977
0.49,0.003757044458359424,0.02485549132947977
0.491,0.003757044458359424,0.02254335260115607
0.492,0.003757044458359424,0.02254335260115607
0.493,0.003757044458359424,0.02254335260115607
0.494,0.003757044458359424,0.02254335260115607
0.495,0.003757044458359424,0.02254335260115607
0.496,0.003757044458359424,0.02254335260115607
0.497,0.003757044458359424,0.02254335260115607
0.498,0.003757044458359424,0.02254335260115607
0.499,0.003757044458359424,0.02254335260115607
0.5,0.003757044458359424,0.02254335260115607
0.501,0.003757044458359424,0.02254335260115607
0.502,0.003757044458359424,0.02254335260115607
0.503,0.003757044458359424,0.021965317919075144
0.504,0.003757044458359424,0.021965317919075144
0.505,0.003757044458359424,0.02138728323699422
0.506,0.0031308703819661866,0.020809248554913295
0.507,0.0031308703819661866,0.020809248554913295
0.508,0.0031308703819661866,0.02023121387283237
0.509,0.0031308703819661866,0.019653179190751446
0.51,0.0031308703819661866,0.019653179190751446
0.511,0.0031308703819661866,0.01907514450867052
0.512,0.002504696305572949,0.01907514450867052
0.513,0.002504696305572949,0.01907514450867052
0.514,0.002504696305572949,0.01907514450867052
0.515,0.002504696305572949,0.01907514450867052
0.516,0.002504696305572949,0.01907514450867052
0.517,0.002504696305572949,0.01907514450867052
0.518,0.002504696305572949,0.01907514450867052
0.519,0.002504696305572949,0.01907514450867052
0.52,0.002504696305572949,0.01907514450867052
0.521,0.002504696305572949,0.018497109826589597
